l24c128l1b: 1000 1000 1000 1000 1000 1000 1000 1000
l24c128l2b: 1000 1000 1000 1000 1000 1000 1000 1000
l24c128l4b: 3 7 13 20 29 38 47 57
l24c128l8b: 3 5 9 13 18 23 29 35
l24c128l16b: 3 4 6 9 12 15 19 22
l24c128l32b: 3 4 5 7 9 11 14 16
l24c128l64b: 1000 1000 1000 1000 1000 1000 1000 1000
l24c256l1b: 1000 1000 1000 1000 1000 1000 1000 1000
l24c256l2b: 1000 1000 1000 1000 1000 1000 1000 1000
l24c256l4b: 2 6 13 20 29 38 47 57
l24c256l8b: 2 4 8 13 18 23 28 35
l24c256l16b: 2 3 6 8 11 15 18 22
l24c256l32b: 2 3 5 6 8 11 14 16
l24c256l64b: 1000 1000 1000 1000 1000 1000 1000 1000
l28c64l1b: 1000 1000 1000 1000 1000 1000 1000 1000
l28c64l2b: 46 52 117 157 188 225 246 261
l28c64l4b: 19 25 39 54 96 107 120 150
l28c64l8b: 9 12 21 30 39 47 58 79
l28c64l16b: 8 9 11 16 25 32 37 42
l28c64l32b: 7 8 9 11 14 19 23 28
l28c64l64b: 7 7 8 10 12 14 18 22 
l28c128l1b: 1000 1000 1000 1000 1000 1000 1000 1000
l28c128l2b: 1000 1000 1000 1000 1000 1000 1000 1000
l28c128l4b: 12 22 39 54 98 108 130 151
l28c128l8b: 7 12 21 30 39 48 59 80
l28c128l16b: 6 8 11 16 24 31 37 42
l28c128l32b: 6 7 9 11 14 19 24 28
l28c128l64b: 6 7 9 11 14 19 24 28
l28c256l1b: 1000 1000 1000 1000 1000 1000 1000 1000
l28c256l2b: 1000 1000 1000 1000 1000 1000 1000 1000
l28c256l4b: 12 22 39 54 100 108 130 152
l28c256l8b: 7 12 21 30 39 48 59 81
l28c256l16b: 6 8 11 16 24 31 37 42
l28c256l32b: 6 7 9 11 14 19 24 28
l28c256l64b: 6 7 9 11 14 19 24 28
l216c64l1b: 1000 1000 1000 1000 1000 1000 1000 1000
l216c64l2b: 1000 1000 1000 1000 1000 1000 1000 1000
l216c64l4b: 34 35 78 126 178 220 252 274
l216c64l8b: 9 11 23 43 62 87 105 130
l216c64l16b: 7 9 13 23 33 45 56 67
l216c64l32b: 5 6 7 10 13 19 25 30
l216c64l64b: 4 5 6 8 10 14 18 21
l216c128l1b: 1000 1000 1000 1000 1000 1000 1000 1000
l216c128l2b: 25 131 243 1000 1000 1000 1000 1000
l216c128l4b: 8 28 79 127 179 221 253 274
l216c128l8b: 4 9 22 43 62 88 106 131
l216c128l16b: 4 6 11 21 32 44 55 67
l216c128l32b: 4 6 11 12 12 18 24 29
l216c128l64b: 2 3 5 7 9 13 17 21
l216c256l1b: 1000 1000 1000 1000 1000 1000 1000 1000
l216c256l2b: 1000 1000 1000 1000 1000 1000 1000 1000
l216c256l4b: 5 28 80 128 180 221 253 274
l216c256l8b: 3 8 22 43 63 88 107 131
l216c256l16b: 2 5 11 21 32 44 55 67
l216c256l32b: 2 3 5 8 12 18 24 29
l216c256l64b: 2 3 4 6 9 13 17 21
