
---------- Begin Simulation Statistics ----------
simSeconds                                   1.344674                       # Number of seconds simulated (Second)
simTicks                                 1344673655000                       # Number of ticks simulated (Tick)
finalTick                                1344673655000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4287.26                       # Real time elapsed on the host (Second)
hostTickRate                                313643903                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1231868                       # Number of bytes of host memory used (Byte)
simInsts                                   3441221646                       # Number of instructions simulated (Count)
simOps                                     3441221940                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   802662                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     802662                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       2689347336                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.781509                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.279575                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      3441758820                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  8433662                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     3443846293                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1664123                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              8970541                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           7988857                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1327                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2688249463                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.281074                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.110579                       # Number of insts issued each cycle (Count)
system.cpu.branchPred.targetProvider_0::total    204548161                       # The component providing the target for taken branches (Count)
system.cpu.branchPred.targetWrong_0::NoBranch        25023     63.25%     63.25% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::Return        14353     36.28%     99.54% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::CallDirect           12      0.03%     99.57% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::CallIndirect          171      0.43%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::DirectCond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::DirectUncond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::IndirectCond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::IndirectUncond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::total        39559                       # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.condPredicted         141121287                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condPredictedTaken     81583528                       # Number of conditional branches predicted as taken (Count)
system.cpu.branchPred.condIncorrect            139887                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.predTakenBTBMiss           4548                       # Number of branches predicted taken but missed in BTB (Count)
system.cpu.branchPred.BTBLookups            204548161                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates                24839                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits               153771850                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.751764                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.BTBMispredicted            5191                       # Number BTB mispredictions. No target found or target wrong (Count)
system.cpu.branchPred.indirectLookups          210408                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits             208707                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses             1701                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted            0                       # Number of mispredicted indirect branches. (Count)
system.cpu.branchPred.btb.lookups::NoBranch            0      0.00%      0.00% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::Return     18307696      8.95%      8.95% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::CallDirect     18217601      8.91%     17.86% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::CallIndirect         1601      0.00%     17.86% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::DirectCond    141121287     68.99%     86.85% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::DirectUncond     26691169     13.05%     99.90% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::IndirectCond            0      0.00%     99.90% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::IndirectUncond       208807      0.10%    100.00% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::total    204548161                       # Number of BTB lookups (Count)
system.cpu.branchPred.btb.misses::NoBranch            0      0.00%      0.00% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::Return     18307696     36.06%     36.06% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::CallDirect         1973      0.00%     36.06% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::CallIndirect         1601      0.00%     36.06% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::DirectCond     32254029     63.52%     99.58% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::DirectUncond         2205      0.00%     99.59% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::IndirectCond            0      0.00%     99.59% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::IndirectUncond       208807      0.41%    100.00% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::total      50776311                       # Number of BTB misses (Count)
system.cpu.branchPred.btb.updates::NoBranch            0      0.00%      0.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::Return            0      0.00%      0.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::CallDirect         1373      5.53%      5.53% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::CallIndirect            0      0.00%      5.53% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::DirectCond        22151     89.18%     94.71% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::DirectUncond         1315      5.29%    100.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::IndirectCond            0      0.00%    100.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::IndirectUncond            0      0.00%    100.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::total        24839                       # Number of BTB updates (Count)
system.cpu.branchPred.btb.mispredict::NoBranch            0      0.00%      0.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::Return            0      0.00%      0.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::CallDirect         1373      5.53%      5.53% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::CallIndirect            0      0.00%      5.53% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::DirectCond        22151     89.18%     94.71% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::DirectUncond         1315      5.29%    100.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::IndirectCond            0      0.00%    100.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::IndirectUncond            0      0.00%    100.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::total        24839                       # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.power_state.pwrStateResidencyTicks::UNDEFINED 1344673655000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.branchPred.indirectBranchPred.lookups       210408                       # Number of lookups (Count)
system.cpu.branchPred.indirectBranchPred.hits       208707                       # Number of hits of a tag (Count)
system.cpu.branchPred.indirectBranchPred.misses         1701                       # Number of misses (Count)
system.cpu.branchPred.indirectBranchPred.targetRecords       100683                       # Number of targets that where recorded/installed in the cache (Count)
system.cpu.branchPred.indirectBranchPred.indirectRecords       311091                       # Number of indirect branches/calls recorded in the indirect hist (Count)
system.cpu.branchPred.indirectBranchPred.speculativeOverflows           23                       # Number of times more than the allowed capacity for speculative branches/calls where in flight and destroy the path history (Count)
system.cpu.branchPred.ras.pushes             18532575                       # Number of times a PC was pushed onto the RAS (Count)
system.cpu.branchPred.ras.pops               18532570                       # Number of times a PC was poped from the RAS (Count)
system.cpu.branchPred.ras.squashes             538247                       # Number of times the stack operation was squashed due to wrong speculation. (Count)
system.cpu.branchPred.ras.used               17994322                       # Number of times the RAS is the provider (Count)
system.cpu.branchPred.ras.correct            17994322                       # Number of times the RAS is the provider and the prediction is correct (Count)
system.cpu.branchPred.ras.incorrect                 0                       # Number of times the RAS is the provider and the prediction is wrong (Count)
system.cpu.commit.commitSquashedInsts         8954574                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls         8432335                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts            137199                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples   2687044010                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     1.280672                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.234070                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0      1566557382     58.30%     58.30% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1       423087443     15.75%     74.05% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2       300134724     11.17%     85.22% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3        66614006      2.48%     87.69% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4        30340230      1.13%     88.82% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5        67135023      2.50%     91.32% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6        37166804      1.38%     92.71% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7        30081012      1.12%     93.82% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8       165927386      6.18%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total   2687044010                       # Number of insts commited each cycle (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                         111                       # Number of memory barriers committed (Count)
system.cpu.commit.functionCalls              17994327                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass      8431838      0.25%      0.25% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu   1427877579     41.49%     41.74% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult     56352231      1.64%     43.38% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv       155517      0.00%     43.38% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd    119585846      3.48%     46.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp      8840946      0.26%     47.11% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt    163056972      4.74%     51.85% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult    110863712      3.22%     55.07% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc     99040691      2.88%     57.95% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv     17275983      0.50%     58.45% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc     30331458      0.88%     59.33% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt      4215762      0.12%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd          117      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp          116      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc          515      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMatMultAcc            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShift            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAdd            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCmp            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCvt            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatDiv            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMisc            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMult            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMatMultAcc            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAdd            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAlu            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceCmp            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAes            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAesMix            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash2            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash2            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShaSigma2            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShaSigma3            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdPredAlu            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::Matrix            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MatrixMov            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MatrixOP            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MemRead    774819568     22.52%     81.97% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MemWrite    114801730      3.34%     85.31% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMemRead    403371652     11.72%     97.03% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMemWrite     98774421      2.87%     99.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IprAccess            0      0.00%     99.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::InstPrefetch            0      0.00%     99.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideLoad       101901      0.00%     99.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideStore      3220733      0.09%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideMaskLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideMaskStore            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdStridedLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdStridedStore            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdIndexedLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdIndexedStore            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdWholeRegisterLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdWholeRegisterStore            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideFaultOnlyFirstLoad          116      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdStrideSegmentedLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdStrideSegmentedStore            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdExt            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatExt            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdConfig       102536      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::total   3441221940                       # Class of committed instruction (Count)
system.cpu.commit.commitEligibleSamples     165927386                       # number cycles where commit BW limit reached (Cycle)
system.cpu.commitStats0.numInsts           3441221646                       # Number of instructions committed (thread level) (Count)
system.cpu.commitStats0.numOps             3441221940                       # Number of ops (including micro ops) committed (thread level) (Count)
system.cpu.commitStats0.numInstsNotNOP     3441221646                       # Number of instructions committed excluding NOPs or prefetches (Count)
system.cpu.commitStats0.numOpsNotNOP       3441221940                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.commitStats0.cpi                  0.781509                       # CPI: cycles per instruction (thread level) ((Cycle/Count))
system.cpu.commitStats0.ipc                  1.279575                       # IPC: instructions per cycle (thread level) ((Count/Cycle))
system.cpu.commitStats0.numMemRefs         1395090121                       # Number of memory references committed (Count)
system.cpu.commitStats0.numFpInsts         1055357443                       # Number of float instructions (Count)
system.cpu.commitStats0.numIntInsts        2995701605                       # Number of integer instructions (Count)
system.cpu.commitStats0.numLoadInsts       1178293177                       # Number of load instructions (Count)
system.cpu.commitStats0.numStoreInsts       216796884                       # Number of store instructions (Count)
system.cpu.commitStats0.numVecInsts           3426034                       # Number of vector instructions (Count)
system.cpu.commitStats0.committedInstType::No_OpClass      8431838      0.25%      0.25% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::IntAlu   1427877579     41.49%     41.74% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::IntMult     56352231      1.64%     43.38% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::IntDiv       155517      0.00%     43.38% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatAdd    119585846      3.48%     46.86% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatCmp      8840946      0.26%     47.11% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatCvt    163056972      4.74%     51.85% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMult    110863712      3.22%     55.07% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMultAcc     99040691      2.88%     57.95% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatDiv     17275983      0.50%     58.45% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMisc     30331458      0.88%     59.33% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatSqrt      4215762      0.12%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAdd          117      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAddAcc            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAlu            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdCmp          116      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdCvt            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdMisc          515      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdMult            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdMultAcc            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdMatMultAcc            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShift            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShiftAcc            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdDiv            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSqrt            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatAdd            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatAlu            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatCmp            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatCvt            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatDiv            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMisc            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMult            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMultAcc            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMatMultAcc            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatSqrt            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdReduceAdd            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdReduceAlu            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdReduceCmp            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatReduceAdd            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatReduceCmp            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAes            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAesMix            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha1Hash            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha1Hash2            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha256Hash            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha256Hash2            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShaSigma2            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShaSigma3            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdPredAlu            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::Matrix            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MatrixMov            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MatrixOP            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MemRead    774819568     22.52%     81.97% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MemWrite    114801730      3.34%     85.31% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMemRead    403371652     11.72%     97.03% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMemWrite     98774421      2.87%     99.90% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::IprAccess            0      0.00%     99.90% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::InstPrefetch            0      0.00%     99.90% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideLoad       101901      0.00%     99.90% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideStore      3220733      0.09%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideMaskLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideMaskStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdStridedLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdStridedStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdIndexedLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdIndexedStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdWholeRegisterLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
